ID,Overetch,Distance,Mode1,Mode2,Mode3,Mode4
1,0.0,1.5,-0.15,-0.15,-0.15,-0.15
2,0.0,1.5,-0.15,-0.15,-0.15,-0.075
3,0.0,1.5,-0.15,-0.15,-0.15,0.0
4,0.0,1.5,-0.15,-0.15,-0.15,0.07499999999999998
5,0.0,1.5,-0.15,-0.15,-0.15,0.15
6,0.0,1.5,-0.15,-0.15,-0.075,-0.15
7,0.0,1.5,-0.15,-0.15,-0.075,-0.075
8,0.0,1.5,-0.15,-0.15,-0.075,0.0
9,0.0,1.5,-0.15,-0.15,-0.075,0.07499999999999998
10,0.0,1.5,-0.15,-0.15,-0.075,0.15
11,0.0,1.5,-0.15,-0.15,0.0,-0.15
12,0.0,1.5,-0.15,-0.15,0.0,-0.075
13,0.0,1.5,-0.15,-0.15,0.0,0.0
14,0.0,1.5,-0.15,-0.15,0.0,0.07499999999999998
15,0.0,1.5,-0.15,-0.15,0.0,0.15
16,0.0,1.5,-0.15,-0.15,0.07499999999999998,-0.15
17,0.0,1.5,-0.15,-0.15,0.07499999999999998,-0.075
18,0.0,1.5,-0.15,-0.15,0.07499999999999998,0.0
19,0.0,1.5,-0.15,-0.15,0.07499999999999998,0.07499999999999998
20,0.0,1.5,-0.15,-0.15,0.07499999999999998,0.15
21,0.0,1.5,-0.15,-0.15,0.15,-0.15
22,0.0,1.5,-0.15,-0.15,0.15,-0.075
23,0.0,1.5,-0.15,-0.15,0.15,0.0
24,0.0,1.5,-0.15,-0.15,0.15,0.07499999999999998
25,0.0,1.5,-0.15,-0.15,0.15,0.15
26,0.0,1.5,-0.15,-0.075,-0.15,-0.15
27,0.0,1.5,-0.15,-0.075,-0.15,-0.075
28,0.0,1.5,-0.15,-0.075,-0.15,0.0
29,0.0,1.5,-0.15,-0.075,-0.15,0.07499999999999998
30,0.0,1.5,-0.15,-0.075,-0.15,0.15
31,0.0,1.5,-0.15,-0.075,-0.075,-0.15
32,0.0,1.5,-0.15,-0.075,-0.075,-0.075
33,0.0,1.5,-0.15,-0.075,-0.075,0.0
34,0.0,1.5,-0.15,-0.075,-0.075,0.07499999999999998
35,0.0,1.5,-0.15,-0.075,-0.075,0.15
36,0.0,1.5,-0.15,-0.075,0.0,-0.15
37,0.0,1.5,-0.15,-0.075,0.0,-0.075
38,0.0,1.5,-0.15,-0.075,0.0,0.0
39,0.0,1.5,-0.15,-0.075,0.0,0.07499999999999998
40,0.0,1.5,-0.15,-0.075,0.0,0.15
41,0.0,1.5,-0.15,-0.075,0.07499999999999998,-0.15
42,0.0,1.5,-0.15,-0.075,0.07499999999999998,-0.075
43,0.0,1.5,-0.15,-0.075,0.07499999999999998,0.0
44,0.0,1.5,-0.15,-0.075,0.07499999999999998,0.07499999999999998
45,0.0,1.5,-0.15,-0.075,0.07499999999999998,0.15
46,0.0,1.5,-0.15,-0.075,0.15,-0.15
47,0.0,1.5,-0.15,-0.075,0.15,-0.075
48,0.0,1.5,-0.15,-0.075,0.15,0.0
49,0.0,1.5,-0.15,-0.075,0.15,0.07499999999999998
50,0.0,1.5,-0.15,-0.075,0.15,0.15
51,0.0,1.5,-0.15,0.0,-0.15,-0.15
52,0.0,1.5,-0.15,0.0,-0.15,-0.075
53,0.0,1.5,-0.15,0.0,-0.15,0.0
54,0.0,1.5,-0.15,0.0,-0.15,0.07499999999999998
55,0.0,1.5,-0.15,0.0,-0.15,0.15
56,0.0,1.5,-0.15,0.0,-0.075,-0.15
57,0.0,1.5,-0.15,0.0,-0.075,-0.075
58,0.0,1.5,-0.15,0.0,-0.075,0.0
59,0.0,1.5,-0.15,0.0,-0.075,0.07499999999999998
60,0.0,1.5,-0.15,0.0,-0.075,0.15
61,0.0,1.5,-0.15,0.0,0.0,-0.15
62,0.0,1.5,-0.15,0.0,0.0,-0.075
63,0.0,1.5,-0.15,0.0,0.0,0.0
64,0.0,1.5,-0.15,0.0,0.0,0.07499999999999998
65,0.0,1.5,-0.15,0.0,0.0,0.15
66,0.0,1.5,-0.15,0.0,0.07499999999999998,-0.15
67,0.0,1.5,-0.15,0.0,0.07499999999999998,-0.075
68,0.0,1.5,-0.15,0.0,0.07499999999999998,0.0
69,0.0,1.5,-0.15,0.0,0.07499999999999998,0.07499999999999998
70,0.0,1.5,-0.15,0.0,0.07499999999999998,0.15
71,0.0,1.5,-0.15,0.0,0.15,-0.15
72,0.0,1.5,-0.15,0.0,0.15,-0.075
73,0.0,1.5,-0.15,0.0,0.15,0.0
74,0.0,1.5,-0.15,0.0,0.15,0.07499999999999998
75,0.0,1.5,-0.15,0.0,0.15,0.15
76,0.0,1.5,-0.15,0.07499999999999998,-0.15,-0.15
77,0.0,1.5,-0.15,0.07499999999999998,-0.15,-0.075
78,0.0,1.5,-0.15,0.07499999999999998,-0.15,0.0
79,0.0,1.5,-0.15,0.07499999999999998,-0.15,0.07499999999999998
80,0.0,1.5,-0.15,0.07499999999999998,-0.15,0.15
81,0.0,1.5,-0.15,0.07499999999999998,-0.075,-0.15
82,0.0,1.5,-0.15,0.07499999999999998,-0.075,-0.075
83,0.0,1.5,-0.15,0.07499999999999998,-0.075,0.0
84,0.0,1.5,-0.15,0.07499999999999998,-0.075,0.07499999999999998
85,0.0,1.5,-0.15,0.07499999999999998,-0.075,0.15
86,0.0,1.5,-0.15,0.07499999999999998,0.0,-0.15
87,0.0,1.5,-0.15,0.07499999999999998,0.0,-0.075
88,0.0,1.5,-0.15,0.07499999999999998,0.0,0.0
89,0.0,1.5,-0.15,0.07499999999999998,0.0,0.07499999999999998
90,0.0,1.5,-0.15,0.07499999999999998,0.0,0.15
91,0.0,1.5,-0.15,0.07499999999999998,0.07499999999999998,-0.15
92,0.0,1.5,-0.15,0.07499999999999998,0.07499999999999998,-0.075
93,0.0,1.5,-0.15,0.07499999999999998,0.07499999999999998,0.0
94,0.0,1.5,-0.15,0.07499999999999998,0.07499999999999998,0.07499999999999998
95,0.0,1.5,-0.15,0.07499999999999998,0.07499999999999998,0.15
96,0.0,1.5,-0.15,0.07499999999999998,0.15,-0.15
97,0.0,1.5,-0.15,0.07499999999999998,0.15,-0.075
98,0.0,1.5,-0.15,0.07499999999999998,0.15,0.0
99,0.0,1.5,-0.15,0.07499999999999998,0.15,0.07499999999999998
100,0.0,1.5,-0.15,0.07499999999999998,0.15,0.15
101,0.0,1.5,-0.15,0.15,-0.15,-0.15
102,0.0,1.5,-0.15,0.15,-0.15,-0.075
103,0.0,1.5,-0.15,0.15,-0.15,0.0
104,0.0,1.5,-0.15,0.15,-0.15,0.07499999999999998
105,0.0,1.5,-0.15,0.15,-0.15,0.15
106,0.0,1.5,-0.15,0.15,-0.075,-0.15
107,0.0,1.5,-0.15,0.15,-0.075,-0.075
108,0.0,1.5,-0.15,0.15,-0.075,0.0
109,0.0,1.5,-0.15,0.15,-0.075,0.07499999999999998
110,0.0,1.5,-0.15,0.15,-0.075,0.15
111,0.0,1.5,-0.15,0.15,0.0,-0.15
112,0.0,1.5,-0.15,0.15,0.0,-0.075
113,0.0,1.5,-0.15,0.15,0.0,0.0
114,0.0,1.5,-0.15,0.15,0.0,0.07499999999999998
115,0.0,1.5,-0.15,0.15,0.0,0.15
116,0.0,1.5,-0.15,0.15,0.07499999999999998,-0.15
117,0.0,1.5,-0.15,0.15,0.07499999999999998,-0.075
118,0.0,1.5,-0.15,0.15,0.07499999999999998,0.0
119,0.0,1.5,-0.15,0.15,0.07499999999999998,0.07499999999999998
120,0.0,1.5,-0.15,0.15,0.07499999999999998,0.15
121,0.0,1.5,-0.15,0.15,0.15,-0.15
122,0.0,1.5,-0.15,0.15,0.15,-0.075
123,0.0,1.5,-0.15,0.15,0.15,0.0
124,0.0,1.5,-0.15,0.15,0.15,0.07499999999999998
125,0.0,1.5,-0.15,0.15,0.15,0.15
126,0.0,1.5,-0.075,-0.15,-0.15,-0.15
127,0.0,1.5,-0.075,-0.15,-0.15,-0.075
128,0.0,1.5,-0.075,-0.15,-0.15,0.0
129,0.0,1.5,-0.075,-0.15,-0.15,0.07499999999999998
130,0.0,1.5,-0.075,-0.15,-0.15,0.15
131,0.0,1.5,-0.075,-0.15,-0.075,-0.15
132,0.0,1.5,-0.075,-0.15,-0.075,-0.075
133,0.0,1.5,-0.075,-0.15,-0.075,0.0
134,0.0,1.5,-0.075,-0.15,-0.075,0.07499999999999998
135,0.0,1.5,-0.075,-0.15,-0.075,0.15
136,0.0,1.5,-0.075,-0.15,0.0,-0.15
137,0.0,1.5,-0.075,-0.15,0.0,-0.075
138,0.0,1.5,-0.075,-0.15,0.0,0.0
139,0.0,1.5,-0.075,-0.15,0.0,0.07499999999999998
140,0.0,1.5,-0.075,-0.15,0.0,0.15
141,0.0,1.5,-0.075,-0.15,0.07499999999999998,-0.15
142,0.0,1.5,-0.075,-0.15,0.07499999999999998,-0.075
143,0.0,1.5,-0.075,-0.15,0.07499999999999998,0.0
144,0.0,1.5,-0.075,-0.15,0.07499999999999998,0.07499999999999998
145,0.0,1.5,-0.075,-0.15,0.07499999999999998,0.15
146,0.0,1.5,-0.075,-0.15,0.15,-0.15
147,0.0,1.5,-0.075,-0.15,0.15,-0.075
148,0.0,1.5,-0.075,-0.15,0.15,0.0
149,0.0,1.5,-0.075,-0.15,0.15,0.07499999999999998
150,0.0,1.5,-0.075,-0.15,0.15,0.15
151,0.0,1.5,-0.075,-0.075,-0.15,-0.15
152,0.0,1.5,-0.075,-0.075,-0.15,-0.075
153,0.0,1.5,-0.075,-0.075,-0.15,0.0
154,0.0,1.5,-0.075,-0.075,-0.15,0.07499999999999998
155,0.0,1.5,-0.075,-0.075,-0.15,0.15
156,0.0,1.5,-0.075,-0.075,-0.075,-0.15
157,0.0,1.5,-0.075,-0.075,-0.075,-0.075
158,0.0,1.5,-0.075,-0.075,-0.075,0.0
159,0.0,1.5,-0.075,-0.075,-0.075,0.07499999999999998
160,0.0,1.5,-0.075,-0.075,-0.075,0.15
161,0.0,1.5,-0.075,-0.075,0.0,-0.15
162,0.0,1.5,-0.075,-0.075,0.0,-0.075
163,0.0,1.5,-0.075,-0.075,0.0,0.0
164,0.0,1.5,-0.075,-0.075,0.0,0.07499999999999998
165,0.0,1.5,-0.075,-0.075,0.0,0.15
166,0.0,1.5,-0.075,-0.075,0.07499999999999998,-0.15
167,0.0,1.5,-0.075,-0.075,0.07499999999999998,-0.075
168,0.0,1.5,-0.075,-0.075,0.07499999999999998,0.0
169,0.0,1.5,-0.075,-0.075,0.07499999999999998,0.07499999999999998
170,0.0,1.5,-0.075,-0.075,0.07499999999999998,0.15
171,0.0,1.5,-0.075,-0.075,0.15,-0.15
172,0.0,1.5,-0.075,-0.075,0.15,-0.075
173,0.0,1.5,-0.075,-0.075,0.15,0.0
174,0.0,1.5,-0.075,-0.075,0.15,0.07499999999999998
175,0.0,1.5,-0.075,-0.075,0.15,0.15
176,0.0,1.5,-0.075,0.0,-0.15,-0.15
177,0.0,1.5,-0.075,0.0,-0.15,-0.075
178,0.0,1.5,-0.075,0.0,-0.15,0.0
179,0.0,1.5,-0.075,0.0,-0.15,0.07499999999999998
180,0.0,1.5,-0.075,0.0,-0.15,0.15
181,0.0,1.5,-0.075,0.0,-0.075,-0.15
182,0.0,1.5,-0.075,0.0,-0.075,-0.075
183,0.0,1.5,-0.075,0.0,-0.075,0.0
184,0.0,1.5,-0.075,0.0,-0.075,0.07499999999999998
185,0.0,1.5,-0.075,0.0,-0.075,0.15
186,0.0,1.5,-0.075,0.0,0.0,-0.15
187,0.0,1.5,-0.075,0.0,0.0,-0.075
188,0.0,1.5,-0.075,0.0,0.0,0.0
189,0.0,1.5,-0.075,0.0,0.0,0.07499999999999998
190,0.0,1.5,-0.075,0.0,0.0,0.15
191,0.0,1.5,-0.075,0.0,0.07499999999999998,-0.15
192,0.0,1.5,-0.075,0.0,0.07499999999999998,-0.075
193,0.0,1.5,-0.075,0.0,0.07499999999999998,0.0
194,0.0,1.5,-0.075,0.0,0.07499999999999998,0.07499999999999998
195,0.0,1.5,-0.075,0.0,0.07499999999999998,0.15
196,0.0,1.5,-0.075,0.0,0.15,-0.15
197,0.0,1.5,-0.075,0.0,0.15,-0.075
